subject,gender,trial,shift,max_response,mean_response,slope,p_value
5,F,109,-2,46.41735346,17.98667195,-0.041424522,3.18755E-08
5,F,110,-1,43.62419969,21.27682925,-0.027591652,0.006661301
5,F,111,1,52.52491277,32.46620668,-0.032603558,0
5,F,112,0,27.35560494,14.31507262,0.015390497,0.006021101
5,F,113,-1,69.87960463,60.09143946,0.156108844,0
5,F,114,2,43.24316826,12.90876574,0.274816563,0
5,F,115,0,27.07873907,9.85288556,-0.071044914,0
5,F,116,-2,19.08743946,7.917519637,0.14412124,0
5,F,117,1,42.92816861,20.09034249,0.143605702,0
5,F,118,1,36.35910333,18.87067292,0.136570356,0
5,F,119,-1,30.74344157,11.56421102,-0.074139283,0
5,F,120,0,27.51869661,16.46427078,0.13505007,0
5,F,121,2,16.3092457,6.456773641,-0.095622468,0
5,F,122,-2,25.64932697,7.577059031,-0.060403135,0
6,M,1,1,27.79774148,10.14908007,0.052148517,4.44089E-16
6,M,2,0,17.44822114,8.197450284,-0.068891353,0
6,M,3,2,51.59031715,29.00978566,-0.06603134,0
6,M,4,-2,17.28362894,8.241656538,0.049463269,3.71783E-11
6,M,5,-1,15.35504113,6.626135903,0.048682621,0
6,M,6,1,50.5715616,35.23741801,-0.041880705,4.61637E-11
6,M,7,-1,20.11621592,9.281271787,-0.002525373,0.338945829
6,M,8,0,20.02284304,7.351995142,-0.097006608,0
6,M,9,2,69.98985547,48.58999711,-0.172477338,0
6,M,10,-2,44.79957689,36.66197362,-0.172101907,0
6,M,11,2,35.28662472,15.3604657,0.091927942,0
6,M,12,-2,44.1997061,22.31790672,-0.12398912,0
6,M,13,1,37.98734366,14.96838058,-0.132478918,0
6,M,14,0,38.91022003,16.63740695,0.039328896,4.0881E-09
6,M,15,-1,63.47485567,43.66147642,-0.240269476,0
6,M,16,-2,68.75740603,52.94115855,-0.172343116,0
6,M,17,-1,55.84812397,32.48974718,-0.045281708,0
6,M,18,1,33.24299943,22.9098634,-0.093632298,0
6,M,19,2,21.8063359,8.84480754,0.014873089,1.28654E-06
6,M,20,0,60.02536347,36.72863134,-0.057520419,5.83262E-08
6,M,21,-1,31.39245912,12.81863332,-0.023117473,1.45889E-09
6,M,22,-2,37.36474311,26.9526878,-0.052537069,0
6,M,23,1,51.90735034,33.57667172,-0.153188702,0
6,M,24,0,61.21315453,52.5098863,-0.172783248,0
6,M,25,2,43.52591525,11.52583937,-0.008975297,0.019751429
6,M,26,2,55.25569425,40.53633192,-0.104592397,0
6,M,27,-2,48.71080698,23.60183229,-0.010607151,0.000986562
6,M,28,-1,23.92044396,11.5466716,0.046651159,0
6,M,29,1,21.17002494,9.176745946,0.011007698,0.001007688
6,M,30,0,37.90881997,18.1134174,-0.231615236,0
6,M,31,2,81.58157786,39.27913891,-0.071645601,0
