"subject","gender","trial","duration","intensity","pitch","delay","video","stimulus","syllables","speech_rate"
4,"m",20,4.239199,67.26555828,146.4673204,200,1,1,18,4.2460851684481
4,"m",21,2.814258,64.51264186,152.2324447,0,1,5,15,5.33000172692056
4,"m",22,3.740469,68.49754215,153.5226221,200,0,5,15,4.01019230476178
4,"m",23,4.45294,69.89946836,153.8697352,200,1,7,17,3.81770246174438
4,"m",24,3.384234,65.9749089,143.9111593,0,1,7,17,5.02329330655031
4,"m",25,3.384234,66.47389243,148.681647,0,0,9,18,5.3187811481121
4,"m",26,3.312987,64.51435444,143.3803328,0,0,7,17,5.13132107068334
4,"m",27,3.206117,64.09418991,155.450891,0,1,10,17,5.30236419943502
4,"m",28,4.987293,58.6684277,152.567489,200,0,2,15,3.00764362550987
4,"m",29,4.310445,65.72313099,151.0177806,200,0,3,15,3.4799191266795
4,"m",30,3.419857,64.8381481,153.9901584,0,0,4,17,4.97096808433803
4,"m",31,4.737928,68.9764049,154.6784762,200,0,8,18,3.7991290707668
4,"m",32,3.063622,63.33482666,139.2655559,0,0,6,15,4.89616538854989
4,"m",33,4.061081,67.51825139,141.8012852,200,0,7,17,4.18607754930276
4,"m",34,3.170493,63.44659056,133.0845246,0,1,6,15,4.73112541172619
4,"m",35,2.707387,63.15212991,145.6923205,0,0,5,15,5.54039743856346
4,"m",36,3.776093,67.66071674,139.4183169,200,1,3,15,3.97235979092676
4,"m",37,3.170493,63.37113012,133.9949543,0,0,1,18,5.67735049407143
4,"m",38,2.814258,64.40564968,132.3395613,0,1,3,15,5.33000172692056
4,"m",39,4.274822,65.55317687,131.9829198,200,0,1,18,4.21070163857115
4,"m",40,3.206117,62.49903704,137.1816825,0,0,8,18,5.61426797587237
4,"m",41,3.776092,68.33228936,146.2137115,200,1,3,15,3.97236084290319
4,"m",42,3.277363,64.56320578,141.2142142,0,1,8,18,5.49222042233344
4,"m",43,4.381693,69.51293127,144.3160545,200,0,9,18,4.10800117671411
4,"m",44,3.384234,68.34820645,144.025971,200,1,5,15,4.43231762342675
4,"m",45,4.025457,68.23510778,149.5558767,200,1,4,17,4.22312298951399
4,"m",46,3.455481,68.80187583,147.5710572,200,0,2,15,4.34092967086203
4,"m",47,4.239199,69.38495647,145.7647449,200,0,8,18,4.2460851684481
4,"m",48,3.13487,66.53291753,146.4909277,0,1,10,17,5.42287239981243
4,"m",49,3.704845,67.96297039,138.6609317,200,1,6,15,4.04875237695504
4,"m",50,3.34861,68.63710689,146.0188348,200,1,2,15,4.47947058630297
4,"m",51,3.099246,64.68135173,142.9747516,0,0,8,18,5.80786423536563
4,"m",52,3.063622,63.58094703,150.0676536,0,0,10,17,5.54898744035655
4,"m",53,2.992375,63.64542596,136.009772,0,0,6,15,5.01274071598647
4,"m",54,3.562352,66.28690816,142.0968891,200,0,6,15,4.210701244571
4,"m",55,3.989834,68.15356816,145.0379203,200,1,8,18,4.51146589056086
4,"m",56,3.918587,67.74578946,136.1903063,200,1,7,17,4.33829847340381
4,"m",57,3.277364,64.28014965,134.135088,0,1,7,17,5.18709548283316
